block_timestamp,block_number,day_of_week,mcp,lower_bound,upper_bound,zone,date
2026-06-08T00:00:00+05:30,1,Monday,7388.13,5840.48,8935.77,RED,2026-06-08
2026-06-08T00:15:00+05:30,2,Monday,7254.18,5663.73,8844.63,RED,2026-06-08
2026-06-08T00:30:00+05:30,3,Monday,6964.95,5391.58,8538.32,YELLOW,2026-06-08
2026-06-08T00:45:00+05:30,4,Monday,6729.49,5103.06,8355.92,YELLOW,2026-06-08
2026-06-08T01:00:00+05:30,5,Monday,6534.67,4951.06,8118.27,YELLOW,2026-06-08
2026-06-08T01:15:00+05:30,6,Monday,6452.42,4828.82,8076.03,YELLOW,2026-06-08
2026-06-08T01:30:00+05:30,7,Monday,6497.03,4902.56,8091.49,YELLOW,2026-06-08
2026-06-08T01:45:00+05:30,8,Monday,6297.97,4728.18,7867.77,YELLOW,2026-06-08
2026-06-08T02:00:00+05:30,9,Monday,5967.57,4474.44,7460.69,YELLOW,2026-06-08
2026-06-08T02:15:00+05:30,10,Monday,5778.13,4314.67,7241.6,YELLOW,2026-06-08
2026-06-08T02:30:00+05:30,11,Monday,5294.37,4045.15,6543.59,YELLOW,2026-06-08
2026-06-08T02:45:00+05:30,12,Monday,5210.36,3963.77,6456.95,YELLOW,2026-06-08
2026-06-08T03:00:00+05:30,13,Monday,4934.15,3755.65,6112.64,YELLOW,2026-06-08
2026-06-08T03:15:00+05:30,14,Monday,4901.89,3734.86,6068.92,YELLOW,2026-06-08
2026-06-08T03:30:00+05:30,15,Monday,4712.84,3613.92,5811.75,YELLOW,2026-06-08
2026-06-08T03:45:00+05:30,16,Monday,4644.34,3517.82,5770.86,YELLOW,2026-06-08
2026-06-08T04:00:00+05:30,17,Monday,4344.96,3244.15,5445.77,YELLOW,2026-06-08
2026-06-08T04:15:00+05:30,18,Monday,4327.07,3242.17,5411.96,YELLOW,2026-06-08
2026-06-08T04:30:00+05:30,19,Monday,4385.79,3309.63,5461.95,YELLOW,2026-06-08
2026-06-08T04:45:00+05:30,20,Monday,4364.17,3319.86,5408.49,YELLOW,2026-06-08
2026-06-08T05:00:00+05:30,21,Monday,4056.03,3041.36,5070.71,YELLOW,2026-06-08
2026-06-08T05:15:00+05:30,22,Monday,4434.31,3292.58,5576.04,YELLOW,2026-06-08
2026-06-08T05:30:00+05:30,23,Monday,4415.83,3278.84,5552.81,YELLOW,2026-06-08
2026-06-08T05:45:00+05:30,24,Monday,4316.34,3187.72,5444.96,YELLOW,2026-06-08
2026-06-08T06:00:00+05:30,25,Monday,4307.89,3319.35,5296.43,YELLOW,2026-06-08
2026-06-08T06:15:00+05:30,26,Monday,4291.41,3303.83,5278.98,YELLOW,2026-06-08
2026-06-08T06:30:00+05:30,27,Monday,3894.55,2975.55,4813.55,GREEN,2026-06-08
2026-06-08T06:45:00+05:30,28,Monday,3507.41,2569.66,4445.16,GREEN,2026-06-08
2026-06-08T07:00:00+05:30,29,Monday,3108.45,2316.97,3899.94,GREEN,2026-06-08
2026-06-08T07:15:00+05:30,30,Monday,2656.58,2164.64,3148.51,GREEN,2026-06-08
2026-06-08T07:30:00+05:30,31,Monday,2709.36,2299.75,3118.97,GREEN,2026-06-08
2026-06-08T07:45:00+05:30,32,Monday,2365.46,1994.78,2736.13,GREEN,2026-06-08
2026-06-08T08:00:00+05:30,33,Monday,1585.39,1201.28,1969.5,GREEN,2026-06-08
2026-06-08T08:15:00+05:30,34,Monday,1608.75,1239.3,1978.19,GREEN,2026-06-08
2026-06-08T08:30:00+05:30,35,Monday,1559.68,1172.37,1946.99,GREEN,2026-06-08
2026-06-08T08:45:00+05:30,36,Monday,1521.61,1116.08,1927.14,GREEN,2026-06-08
2026-06-08T09:00:00+05:30,37,Monday,1527.4,1111.61,1943.19,GREEN,2026-06-08
2026-06-08T09:15:00+05:30,38,Monday,1534.29,1101.19,1967.4,GREEN,2026-06-08
2026-06-08T09:30:00+05:30,39,Monday,1549.26,1135.08,1963.44,GREEN,2026-06-08
2026-06-08T09:45:00+05:30,40,Monday,1516.82,1113.88,1919.76,GREEN,2026-06-08
2026-06-08T10:00:00+05:30,41,Monday,1412.13,983.42,1840.85,GREEN,2026-06-08
2026-06-08T10:15:00+05:30,42,Monday,1430.32,1000.55,1860.1,GREEN,2026-06-08
2026-06-08T10:30:00+05:30,43,Monday,1521.64,1056.94,1986.34,GREEN,2026-06-08
2026-06-08T10:45:00+05:30,44,Monday,1496.03,1021.78,1970.28,GREEN,2026-06-08
2026-06-08T11:00:00+05:30,45,Monday,1483.88,1009.79,1957.98,GREEN,2026-06-08
2026-06-08T11:15:00+05:30,46,Monday,1516.3,1047.66,1984.95,GREEN,2026-06-08
2026-06-08T11:30:00+05:30,47,Monday,1492.16,1038.58,1945.73,GREEN,2026-06-08
2026-06-08T11:45:00+05:30,48,Monday,1487.24,1044.47,1930.02,GREEN,2026-06-08
2026-06-08T12:00:00+05:30,49,Monday,1475.7,987.06,1964.35,GREEN,2026-06-08
2026-06-08T12:15:00+05:30,50,Monday,1528.9,1014.22,2043.58,GREEN,2026-06-08
2026-06-08T12:30:00+05:30,51,Monday,1536.3,1065.06,2007.54,GREEN,2026-06-08
2026-06-08T12:45:00+05:30,52,Monday,1530.47,1041.5,2019.44,GREEN,2026-06-08
2026-06-08T13:00:00+05:30,53,Monday,1302.07,811.9,1792.25,GREEN,2026-06-08
2026-06-08T13:15:00+05:30,54,Monday,1384.29,876.72,1891.87,GREEN,2026-06-08
2026-06-08T13:30:00+05:30,55,Monday,1571.33,1053.14,2089.52,GREEN,2026-06-08
2026-06-08T13:45:00+05:30,56,Monday,1687.14,1179.0,2195.28,GREEN,2026-06-08
2026-06-08T14:00:00+05:30,57,Monday,1789.26,1303.11,2275.42,GREEN,2026-06-08
2026-06-08T14:15:00+05:30,58,Monday,1930.18,1416.45,2443.92,GREEN,2026-06-08
2026-06-08T14:30:00+05:30,59,Monday,1942.93,1325.21,2560.65,GREEN,2026-06-08
2026-06-08T14:45:00+05:30,60,Monday,2022.98,1354.12,2691.84,GREEN,2026-06-08
2026-06-08T15:00:00+05:30,61,Monday,3300.28,2556.87,4043.7,GREEN,2026-06-08
2026-06-08T15:15:00+05:30,62,Monday,3456.06,2748.05,4164.07,GREEN,2026-06-08
2026-06-08T15:30:00+05:30,63,Monday,3604.83,2836.74,4372.92,GREEN,2026-06-08
2026-06-08T15:45:00+05:30,64,Monday,3681.56,2887.08,4476.05,GREEN,2026-06-08
2026-06-08T16:00:00+05:30,65,Monday,3602.06,2873.92,4330.2,GREEN,2026-06-08
2026-06-08T16:15:00+05:30,66,Monday,3709.87,3007.98,4411.75,GREEN,2026-06-08
2026-06-08T16:30:00+05:30,67,Monday,3732.13,3051.27,4412.98,GREEN,2026-06-08
2026-06-08T16:45:00+05:30,68,Monday,3953.75,3270.18,4637.33,GREEN,2026-06-08
2026-06-08T17:00:00+05:30,69,Monday,3725.33,3075.03,4375.62,GREEN,2026-06-08
2026-06-08T17:15:00+05:30,70,Monday,3919.49,3231.9,4607.07,GREEN,2026-06-08
2026-06-08T17:30:00+05:30,71,Monday,3956.51,3304.75,4608.27,GREEN,2026-06-08
2026-06-08T17:45:00+05:30,72,Monday,4318.34,3656.63,4980.06,YELLOW,2026-06-08
2026-06-08T18:00:00+05:30,73,Monday,3311.53,2750.18,3872.88,GREEN,2026-06-08
2026-06-08T18:15:00+05:30,74,Monday,4316.55,3720.48,4912.62,YELLOW,2026-06-08
2026-06-08T18:30:00+05:30,75,Monday,5415.35,4602.7,6227.99,YELLOW,2026-06-08
2026-06-08T18:45:00+05:30,76,Monday,6183.1,5211.94,7154.25,YELLOW,2026-06-08
2026-06-08T19:00:00+05:30,77,Monday,6420.91,5381.79,7460.03,YELLOW,2026-06-08
2026-06-08T19:15:00+05:30,78,Monday,7279.37,6042.86,8515.87,RED,2026-06-08
2026-06-08T19:30:00+05:30,79,Monday,7250.51,5917.71,8583.31,RED,2026-06-08
2026-06-08T19:45:00+05:30,80,Monday,7487.23,6140.19,8834.26,RED,2026-06-08
2026-06-08T20:00:00+05:30,81,Monday,7463.85,6059.41,8868.3,RED,2026-06-08
2026-06-08T20:15:00+05:30,82,Monday,7655.45,6235.14,9075.76,RED,2026-06-08
2026-06-08T20:30:00+05:30,83,Monday,7600.47,6212.11,8988.82,RED,2026-06-08
