block_timestamp,block_number,day_of_week,date,mcp,lower_bound,upper_bound,zone,temperature,cloudcover
2026-06-09T00:00:00+05:30,1,Tuesday,2026-06-09,7556.0,4020.0,10000.0,RED,22.0,100.0
2026-06-09T00:15:00+05:30,2,Tuesday,2026-06-09,7364.0,3907.0,10000.0,RED,22.0,100.0
2026-06-09T00:30:00+05:30,3,Tuesday,2026-06-09,6960.0,3749.0,10000.0,YELLOW,22.0,100.0
2026-06-09T00:45:00+05:30,4,Tuesday,2026-06-09,6735.0,3738.0,10000.0,YELLOW,22.0,100.0
2026-06-09T01:00:00+05:30,5,Tuesday,2026-06-09,6386.0,3630.0,10000.0,YELLOW,22.2,91.0
2026-06-09T01:15:00+05:30,6,Tuesday,2026-06-09,6237.0,3580.0,10000.0,YELLOW,22.2,91.0
2026-06-09T01:30:00+05:30,7,Tuesday,2026-06-09,5913.0,3502.0,10000.0,YELLOW,22.2,91.0
2026-06-09T01:45:00+05:30,8,Tuesday,2026-06-09,5663.0,3450.0,10000.0,YELLOW,22.2,91.0
2026-06-09T02:00:00+05:30,9,Tuesday,2026-06-09,5453.0,3468.0,8126.0,YELLOW,21.9,98.0
2026-06-09T02:15:00+05:30,10,Tuesday,2026-06-09,5353.0,3462.0,7625.0,YELLOW,21.9,98.0
2026-06-09T02:30:00+05:30,11,Tuesday,2026-06-09,4884.0,3336.0,5306.0,YELLOW,21.9,98.0
2026-06-09T02:45:00+05:30,12,Tuesday,2026-06-09,4763.0,3328.0,5064.0,YELLOW,21.9,98.0
2026-06-09T03:00:00+05:30,13,Tuesday,2026-06-09,4502.0,3117.0,4902.0,YELLOW,21.6,100.0
2026-06-09T03:15:00+05:30,14,Tuesday,2026-06-09,4427.0,3087.0,4707.0,YELLOW,21.6,100.0
2026-06-09T03:30:00+05:30,15,Tuesday,2026-06-09,4222.0,3013.0,4313.0,YELLOW,21.6,100.0
2026-06-09T03:45:00+05:30,16,Tuesday,2026-06-09,4156.0,2990.0,4123.0,YELLOW,21.6,100.0
2026-06-09T04:00:00+05:30,17,Tuesday,2026-06-09,4319.0,3248.0,4440.0,YELLOW,21.4,100.0
2026-06-09T04:15:00+05:30,18,Tuesday,2026-06-09,4361.0,3286.0,4484.0,YELLOW,21.4,100.0
2026-06-09T04:30:00+05:30,19,Tuesday,2026-06-09,4415.0,3275.0,4773.0,YELLOW,21.4,100.0
2026-06-09T04:45:00+05:30,20,Tuesday,2026-06-09,4357.0,3289.0,4613.0,YELLOW,21.4,100.0
2026-06-09T05:00:00+05:30,21,Tuesday,2026-06-09,3959.0,2851.0,4351.0,GREEN,21.3,99.0
2026-06-09T05:15:00+05:30,22,Tuesday,2026-06-09,4219.0,2948.0,4721.0,YELLOW,21.3,99.0
2026-06-09T05:30:00+05:30,23,Tuesday,2026-06-09,4331.0,3198.0,4769.0,YELLOW,21.3,99.0
2026-06-09T05:45:00+05:30,24,Tuesday,2026-06-09,4269.0,3200.0,4656.0,YELLOW,21.3,99.0
2026-06-09T06:00:00+05:30,25,Tuesday,2026-06-09,4409.0,3465.0,4663.0,YELLOW,21.5,100.0
2026-06-09T06:15:00+05:30,26,Tuesday,2026-06-09,4504.0,3359.0,4639.0,YELLOW,21.5,100.0
2026-06-09T06:30:00+05:30,27,Tuesday,2026-06-09,4149.0,3184.0,4440.0,YELLOW,21.5,100.0
2026-06-09T06:45:00+05:30,28,Tuesday,2026-06-09,3808.0,2931.0,4194.0,GREEN,21.5,100.0
2026-06-09T07:00:00+05:30,29,Tuesday,2026-06-09,3398.0,2676.0,3723.0,GREEN,22.5,100.0
2026-06-09T07:15:00+05:30,30,Tuesday,2026-06-09,3040.0,2350.0,3530.0,GREEN,22.5,100.0
2026-06-09T07:30:00+05:30,31,Tuesday,2026-06-09,2805.0,2058.0,3394.0,GREEN,22.5,100.0
2026-06-09T07:45:00+05:30,32,Tuesday,2026-06-09,2497.0,1889.0,3006.0,GREEN,22.5,100.0
2026-06-09T08:00:00+05:30,33,Tuesday,2026-06-09,1470.7,1805.0,3006.0,GREEN,24.0,66.0
2026-06-09T08:15:00+05:30,34,Tuesday,2026-06-09,1456.7,1779.0,2991.0,GREEN,24.0,66.0
2026-06-09T08:30:00+05:30,35,Tuesday,2026-06-09,1435.9,1751.0,2996.0,GREEN,24.0,66.0
2026-06-09T08:45:00+05:30,36,Tuesday,2026-06-09,1410.9,1706.0,2946.0,GREEN,24.0,66.0
2026-06-09T09:00:00+05:30,37,Tuesday,2026-06-09,1629.3,1804.0,2979.0,GREEN,25.4,85.0
2026-06-09T09:15:00+05:30,38,Tuesday,2026-06-09,1644.1,1807.0,2999.0,GREEN,25.4,85.0
2026-06-09T09:30:00+05:30,39,Tuesday,2026-06-09,1605.3,1746.0,2955.0,GREEN,25.4,85.0
2026-06-09T09:45:00+05:30,40,Tuesday,2026-06-09,1017.8,1751.0,2808.0,GREEN,25.4,85.0
2026-06-09T10:00:00+05:30,41,Tuesday,2026-06-09,845.2,1470.0,2768.0,GREEN,26.9,73.0
2026-06-09T10:15:00+05:30,42,Tuesday,2026-06-09,869.1,1428.0,2787.0,GREEN,26.9,73.0
2026-06-09T10:30:00+05:30,43,Tuesday,2026-06-09,931.6,1516.0,2853.0,GREEN,26.9,73.0
2026-06-09T10:45:00+05:30,44,Tuesday,2026-06-09,942.9,1475.0,2904.0,GREEN,26.9,73.0
2026-06-09T11:00:00+05:30,45,Tuesday,2026-06-09,967.8,1706.0,2917.0,GREEN,27.6,76.0
2026-06-09T11:15:00+05:30,46,Tuesday,2026-06-09,1010.7,1692.0,2970.0,GREEN,27.6,76.0
2026-06-09T11:30:00+05:30,47,Tuesday,2026-06-09,1007.7,1724.0,3033.0,GREEN,27.6,76.0
2026-06-09T11:45:00+05:30,48,Tuesday,2026-06-09,995.7,1745.0,2999.0,GREEN,27.6,76.0
2026-06-09T12:00:00+05:30,49,Tuesday,2026-06-09,1133.4,1731.0,2917.0,GREEN,27.5,94.0
2026-06-09T12:15:00+05:30,50,Tuesday,2026-06-09,1179.8,1794.0,3003.0,GREEN,27.5,94.0
2026-06-09T12:30:00+05:30,51,Tuesday,2026-06-09,1185.1,1794.0,3300.0,GREEN,27.5,94.0
2026-06-09T12:45:00+05:30,52,Tuesday,2026-06-09,1187.1,1793.0,3353.0,GREEN,27.5,94.0
2026-06-09T13:00:00+05:30,53,Tuesday,2026-06-09,1434.8,1610.0,2783.0,GREEN,28.1,76.0
2026-06-09T13:15:00+05:30,54,Tuesday,2026-06-09,1522.6,1658.0,2897.0,GREEN,28.1,76.0
2026-06-09T13:30:00+05:30,55,Tuesday,2026-06-09,1682.3,1752.0,3361.0,GREEN,28.1,76.0
2026-06-09T13:45:00+05:30,56,Tuesday,2026-06-09,1811.7,1876.0,3513.0,GREEN,28.1,76.0
2026-06-09T14:00:00+05:30,57,Tuesday,2026-06-09,2116.3,2001.0,3612.0,GREEN,27.6,90.0
2026-06-09T14:15:00+05:30,58,Tuesday,2026-06-09,2313.4,2259.0,3940.0,GREEN,27.6,90.0
2026-06-09T14:30:00+05:30,59,Tuesday,2026-06-09,2295.1,2198.0,4038.0,GREEN,27.6,90.0
2026-06-09T14:45:00+05:30,60,Tuesday,2026-06-09,2406.1,2268.0,4087.0,GREEN,27.6,90.0
2026-06-09T15:00:00+05:30,61,Tuesday,2026-06-09,3396.0,2322.0,4017.0,GREEN,27.2,71.0
2026-06-09T15:15:00+05:30,62,Tuesday,2026-06-09,3567.0,2644.0,4249.0,GREEN,27.2,71.0
2026-06-09T15:30:00+05:30,63,Tuesday,2026-06-09,3603.0,2551.0,4346.0,GREEN,27.2,71.0
2026-06-09T15:45:00+05:30,64,Tuesday,2026-06-09,3728.0,2832.0,4410.0,GREEN,27.2,71.0
2026-06-09T16:00:00+05:30,65,Tuesday,2026-06-09,3672.0,2832.0,4261.0,GREEN,27.5,80.0
2026-06-09T16:15:00+05:30,66,Tuesday,2026-06-09,3730.0,2931.0,4198.0,GREEN,27.5,80.0
2026-06-09T16:30:00+05:30,67,Tuesday,2026-06-09,3619.0,2868.0,4119.0,GREEN,27.5,80.0
2026-06-09T16:45:00+05:30,68,Tuesday,2026-06-09,3145.0,2953.0,4070.0,GREEN,27.5,80.0
2026-06-09T17:00:00+05:30,69,Tuesday,2026-06-09,2872.7,2780.0,3742.0,GREEN,27.0,84.0
