horizon,forecast_timestamp,block_number,predicted_mcp,zone,confidence,spike_probability,lower_bound,upper_bound,date
1,2026-06-04 20:00:00+05:30,81,3131.16,YELLOW,0.5914,0.0997,2661.49,3600.84,2026-06-04
2,2026-06-04 20:15:00+05:30,82,3190.84,YELLOW,0.5944,0.0997,2712.22,3669.47,2026-06-04
3,2026-06-04 20:30:00+05:30,83,3250.52,YELLOW,0.5038,0.0997,2762.95,3738.1,2026-06-04
4,2026-06-04 20:45:00+05:30,84,3310.21,YELLOW,0.5083,0.0997,2813.68,3806.74,2026-06-04
5,2026-06-04 21:00:00+05:30,85,3655.65,YELLOW,0.5311,0.0997,3107.3,4204.0,2026-06-04
6,2026-06-04 21:15:00+05:30,86,4001.09,YELLOW,0.55,0.0997,3400.93,4601.26,2026-06-04
7,2026-06-04 21:30:00+05:30,87,4346.54,YELLOW,0.5164,0.0997,3694.55,4998.52,2026-06-04
8,2026-06-04 21:45:00+05:30,88,4691.98,YELLOW,0.5336,0.0997,3988.18,5395.77,2026-06-04
9,2026-06-04 22:00:00+05:30,89,4693.65,YELLOW,0.7116,0.0997,3989.6,5397.69,2026-06-04
10,2026-06-04 22:15:00+05:30,90,4695.31,YELLOW,0.7117,0.0997,3991.02,5399.61,2026-06-04
11,2026-06-04 22:30:00+05:30,91,4696.98,YELLOW,0.675,0.0997,3992.44,5401.53,2026-06-04
12,2026-06-04 22:45:00+05:30,92,4698.65,YELLOW,0.6752,0.0997,3993.85,5403.45,2026-06-04
13,2026-06-04 23:00:00+05:30,93,4556.64,YELLOW,0.665,0.0997,3873.14,5240.13,2026-06-04
14,2026-06-04 23:15:00+05:30,94,4414.62,YELLOW,0.6543,0.0997,3752.43,5076.81,2026-06-04
15,2026-06-04 23:30:00+05:30,95,4272.61,YELLOW,0.6428,0.0997,3631.72,4913.5,2026-06-04
16,2026-06-04 23:45:00+05:30,96,4130.59,YELLOW,0.6305,0.0997,3511.0,4750.18,2026-06-04
17,2026-06-05 00:00:00+05:30,1,3988.58,YELLOW,0.6173,0.0997,3390.29,4586.87,2026-06-05
18,2026-06-05 00:15:00+05:30,2,3846.56,YELLOW,0.6032,0.0997,3269.58,4423.55,2026-06-05
19,2026-06-05 00:30:00+05:30,3,3704.55,YELLOW,0.5235,0.0997,3148.87,4260.23,2026-06-05
20,2026-06-05 00:45:00+05:30,4,3562.53,YELLOW,0.5045,0.0997,3028.15,4096.92,2026-06-05
21,2026-06-05 01:00:00+05:30,5,3420.52,YELLOW,0.4839,0.0997,2907.44,3933.6,2026-06-05
22,2026-06-05 01:15:00+05:30,6,3278.51,YELLOW,0.4615,0.0997,2786.73,3770.28,2026-06-05
23,2026-06-05 01:30:00+05:30,7,3136.49,YELLOW,0.4372,0.0997,2666.02,3606.97,2026-06-05
24,2026-06-05 01:45:00+05:30,8,2994.48,GREEN,0.4105,0.0997,2545.31,3443.65,2026-06-05
25,2026-06-05 02:00:00+05:30,9,2932.17,GREEN,0.3979,0.0997,2492.35,3372.0,2026-06-05
26,2026-06-05 02:15:00+05:30,10,2869.87,GREEN,0.3849,0.0997,2439.39,3300.35,2026-06-05
27,2026-06-05 02:30:00+05:30,11,2807.56,GREEN,0.3712,0.0997,2386.43,3228.7,2026-06-05
28,2026-06-05 02:45:00+05:30,12,2745.26,GREEN,0.357,0.0997,2333.47,3157.04,2026-06-05
29,2026-06-05 03:00:00+05:30,13,2682.95,GREEN,0.342,0.0997,2280.51,3085.39,2026-06-05
30,2026-06-05 03:15:00+05:30,14,2620.64,GREEN,0.3264,0.0997,2227.55,3013.74,2026-06-05
31,2026-06-05 03:30:00+05:30,15,2558.34,GREEN,0.31,0.0997,2174.59,2942.09,2026-06-05
32,2026-06-05 03:45:00+05:30,16,2496.03,GREEN,0.2927,0.0997,2121.63,2870.44,2026-06-05
33,2026-06-05 04:00:00+05:30,17,2433.73,GREEN,0.2746,0.0997,2068.67,2798.79,2026-06-05
34,2026-06-05 04:15:00+05:30,18,2371.42,GREEN,0.2556,0.0997,2015.71,2727.14,2026-06-05
35,2026-06-05 04:30:00+05:30,19,2309.12,GREEN,0.2355,0.0997,1962.75,2655.49,2026-06-05
36,2026-06-05 04:45:00+05:30,20,2246.81,GREEN,0.2143,0.0997,1909.79,2583.83,2026-06-05
37,2026-06-05 05:00:00+05:30,21,2184.51,GREEN,0.0979,0.0997,1856.83,2512.18,2026-06-05
38,2026-06-05 05:15:00+05:30,22,2122.2,GREEN,0.0714,0.0997,1803.87,2440.53,2026-06-05
39,2026-06-05 05:30:00+05:30,23,2059.9,GREEN,0.0433,0.0997,1750.91,2368.88,2026-06-05
40,2026-06-05 05:45:00+05:30,24,1997.59,GREEN,0.0135,0.0997,1697.95,2297.23,2026-06-05
41,2026-06-05 06:00:00+05:30,25,1935.29,GREEN,0.0,0.0997,1644.99,2225.58,2026-06-05
42,2026-06-05 06:15:00+05:30,26,1872.98,GREEN,0.0,0.0997,1592.03,2153.93,2026-06-05
43,2026-06-05 06:30:00+05:30,27,1810.68,GREEN,0.0,0.0997,1539.07,2082.28,2026-06-05
44,2026-06-05 06:45:00+05:30,28,1748.37,GREEN,0.0,0.0997,1486.11,2010.63,2026-06-05
45,2026-06-05 07:00:00+05:30,29,1686.06,GREEN,0.0,0.0997,1433.15,1938.97,2026-06-05
46,2026-06-05 07:15:00+05:30,30,1623.76,GREEN,0.0,0.0997,1380.2,1867.32,2026-06-05
47,2026-06-05 07:30:00+05:30,31,1561.45,GREEN,0.0,0.0997,1327.24,1795.67,2026-06-05
48,2026-06-05 07:45:00+05:30,32,1499.15,GREEN,0.0,0.0997,1274.28,1724.02,2026-06-05
49,2026-06-05 08:00:00+05:30,33,1521.66,GREEN,0.0,0.0997,1293.41,1749.91,2026-06-05
50,2026-06-05 08:15:00+05:30,34,1544.17,GREEN,0.0,0.0997,1312.55,1775.8,2026-06-05
51,2026-06-05 08:30:00+05:30,35,1566.68,GREEN,0.0,0.0997,1331.68,1801.69,2026-06-05
52,2026-06-05 08:45:00+05:30,36,1589.2,GREEN,0.0,0.0997,1350.82,1827.58,2026-06-05
53,2026-06-05 09:00:00+05:30,37,1611.71,GREEN,0.0,0.0997,1369.95,1853.47,2026-06-05
54,2026-06-05 09:15:00+05:30,38,1634.22,GREEN,0.0,0.0997,1389.09,1879.35,2026-06-05
55,2026-06-05 09:30:00+05:30,39,1656.73,GREEN,0.0,0.0997,1408.22,1905.24,2026-06-05
56,2026-06-05 09:45:00+05:30,40,1679.25,GREEN,0.0,0.0997,1427.36,1931.13,2026-06-05
57,2026-06-05 10:00:00+05:30,41,1701.76,GREEN,0.0,0.0997,1446.49,1957.02,2026-06-05
58,2026-06-05 10:15:00+05:30,42,1724.27,GREEN,0.0,0.0997,1465.63,1982.91,2026-06-05
59,2026-06-05 10:30:00+05:30,43,1746.78,GREEN,0.0,0.0997,1484.76,2008.8,2026-06-05
60,2026-06-05 10:45:00+05:30,44,1769.29,GREEN,0.0,0.0997,1503.9,2034.69,2026-06-05
61,2026-06-05 11:00:00+05:30,45,1776.31,GREEN,0.0,0.0997,1509.86,2042.76,2026-06-05
62,2026-06-05 11:15:00+05:30,46,1783.33,GREEN,0.0,0.0997,1515.83,2050.83,2026-06-05
63,2026-06-05 11:30:00+05:30,47,1790.34,GREEN,0.0,0.0997,1521.79,2058.89,2026-06-05
64,2026-06-05 11:45:00+05:30,48,1797.36,GREEN,0.0,0.0997,1527.75,2066.96,2026-06-05
65,2026-06-05 12:00:00+05:30,49,1804.37,GREEN,0.0,0.0997,1533.72,2075.03,2026-06-05
66,2026-06-05 12:15:00+05:30,50,1811.39,GREEN,0.0,0.0997,1539.68,2083.1,2026-06-05
67,2026-06-05 12:30:00+05:30,51,1818.41,GREEN,0.0,0.0997,1545.65,2091.17,2026-06-05
68,2026-06-05 12:45:00+05:30,52,1825.42,GREEN,0.0,0.0997,1551.61,2099.24,2026-06-05
69,2026-06-05 13:00:00+05:30,53,1964.1,GREEN,0.0497,0.0997,1669.48,2258.71,2026-06-05
70,2026-06-05 13:15:00+05:30,54,2102.77,GREEN,0.1223,0.0997,1787.35,2418.18,2026-06-05
71,2026-06-05 13:30:00+05:30,55,2241.44,GREEN,0.1794,0.0997,1905.23,2577.66,2026-06-05
72,2026-06-05 13:45:00+05:30,56,2380.12,GREEN,0.236,0.0997,2023.1,2737.13,2026-06-05
73,2026-06-05 14:00:00+05:30,57,2477.0,GREEN,0.2717,0.0997,2105.45,2848.55,2026-06-05
74,2026-06-05 14:15:00+05:30,58,2573.88,GREEN,0.3048,0.0997,2187.8,2959.96,2026-06-05
